구,구조 출동건수,출동건수 처리,인명구조,안전조치,기타활동,출동건수미처리,구조인원,화재,교통사고,수난사고,기계사고,건물사고,승강기사고,산악사고,갇힘사고,폭발사고,기타
종로구,6120,4283,639,3544,100,1837,639,39,12,0,6,0,171,43,47,0,321
중구,6064,3090,240,2762,88,2974,240,82,1,0,2,0,72,0,17,0,66
용산구,6167,4636,1139,3446,51,1531,1139,6,24,256,12,0,198,2,75,0,566
성동구,6276,4128,617,3368,143,2148,617,9,9,44,11,0,203,0,59,0,282
광진구,7406,5191,755,4393,43,2215,755,21,7,118,3,0,128,36,86,0,356
동대문구,7549,5232,505,4358,369,2317,505,14,7,2,15,0,119,5,56,0,287
중랑구,6779,4992,476,4324,192,1787,476,3,16,0,11,0,106,16,45,0,279
성북구,7008,4952,461,4238,253,2056,461,40,5,0,6,0,97,17,46,0,250
강북구,7470,5113,680,4251,182,2357,680,7,7,2,8,0,117,37,61,0,441
도봉구,7267,4762,631,4035,96,2505,631,1,5,3,3,0,91,66,44,0,418
노원구,6266,5209,757,4365,87,1057,757,24,8,3,13,0,150,60,64,0,435
은평구,8634,6749,602,5825,322,1885,602,11,1,0,8,0,106,67,63,0,346
서대문구,7687,4596,544,3889,163,3091,544,0,11,1,7,0,174,32,64,0,255
마포구,10282,7062,1048,5968,46,3220,1048,10,14,289,6,0,193,0,63,0,473
양천구,8735,4753,420,4018,315,3982,420,10,7,0,14,0,212,1,23,0,153
강서구,9458,8432,685,7217,530,1026,685,11,5,26,8,0,244,8,97,1,285
구로구,8689,5069,603,4163,303,3620,603,7,6,3,6,0,236,3,71,0,271
금천구,4833,4621,767,3768,86,212,767,1,32,7,12,0,192,7,103,0,413
영등포구,9953,8579,1588,6915,76,1374,1588,29,17,347,6,0,324,0,98,0,767
동작구,7802,4888,787,4025,76,2914,787,13,22,132,8,0,172,1,87,0,352
관악구,9372,7227,1358,5810,59,2145,1358,23,9,22,8,0,187,137,141,0,831
서초구,10484,6374,786,5538,50,4110,786,12,30,165,9,0,170,20,35,0,345
강남구,15968,11536,1451,9719,366,4432,1451,51,36,118,19,0,383,15,116,0,713
송파구,13247,8268,1116,7027,125,4979,1116,20,12,158,14,0,285,2,78,0,547
강동구,8315,5477,716,4555,206,2838,716,9,16,62,14,0,203,4,84,0,324
