고유번호,센터명,위도,경도
1,신정119안전센터,37.5206982,126.8510351
2,잠원119안전센터,37.50765,127.0137281
3,이촌119안전센터,37.5278414,126.9583175
4,후암119안전센터,37.5448956,126.9812418
5,신교119안전센터,37.5803978,126.9645766
6,종로119안전센터,37.5794792,126.9910088
7,세종로119안전센터,37.5819579,126.9767474
8,연건119안전센터,37.5805686,126.9981782
9,무학119안전센터,37.562532,127.0161236
10,을지로119안전센터,37.5654179,127.0000943
11,충무로119안전센터,37.5626602,126.9846082
12,신당119안전센터,37.5535742,127.0004385
13,회현119안전센터,37.5604901,126.9735034
14,이태원119안전센터,37.5357223,127.0019661
15,한강로119안전센터,37.5383933,126.9741056
16,행당119안전센터,37.5626326,127.0394365
17,고덕119안전센터,37.5615464,127.1611931
18,쌍문119안전센터,37.6576524,127.0244435
19,휘경119안전센터,37.5939478,127.0653692
20,용두119안전센터,37.5805914,127.0342271
21,양천119안전센터,37.527161,126.8694519
22,신내119안전센터,37.6102463,127.0964731
23,백운119안전센터,37.4920607,126.9639926
24,난곡119안전센터,37.4720612,126.9129356
25,진관119안전센터,37.6328379,126.934085
26,전농119안전센터,37.575877,127.0556709
27,고일119안전센터,37.4941679,126.8619411
28,수궁119안전센터,37.4910188,126.8318079
29,청량리119안전센터,37.5915968,127.0509504
30,종암119안전센터,37.5960187,127.0356398
31,신트리119안전센터,37.5134744,126.8515772
32,관악119안전센터,37.4598087,126.9554258
33,독산119안전센터,37.4663645,126.8975665
34,돈암119안전센터,37.5908712,127.0008697
35,마천119안전센터,37.4891719,127.1320185
36,상도119안전센터,37.4999956,126.9399032
37,동작119안전센터,37.5002519,126.9192213
38,공덕119안전센터,37.5498957,126.9555567
39,서교119안전센터,37.5546142,126.9104746
40,염리119안전센터,37.5453942,126.9460147
41,개화119안전센터,37.5704357,126.7947963
42,서초119안전센터,37.4877727,127.0171447
43,양재119안전센터,37.456873,127.0623586
44,방화119안전센터,37.5760761,126.8320142
45,장위119안전센터,37.6122072,127.0545794
46,길음119안전센터,37.6167753,127.0025314
47,당산119안전센터,37.5375407,126.8945099
48,영등포119안전센터,37.5178444,126.8978281
49,잠실119안전센터,37.5141125,127.0995051
50,신도림119안전센터,37.5066233,126.8798866
51,고척119안전센터,37.5041898,126.8499207
52,홍은119안전센터,37.5931834,126.9409333
53,북가좌119안전센터,37.5775163,126.9145643
54,종합운동장119안전센터,37.513567,127.0838102
55,연희119안전센터,37.5696345,126.9343459
56,거여119안전센터,37.4918331,127.1489076
57,개포119안전센터,37.4804298,127.0610333
58,신림119안전센터,37.4823082,126.9263575
59,봉천119안전센터,37.4851768,126.9473275
60,망우119안전센터,37.5961145,127.1009235
61,중화119안전센터,37.6041951,127.082669
62,역삼119안전센터,37.4951124,127.0404704
63,수서119안전센터,37.4793209,127.0978613
64,미아119안전센터,37.6219824,127.0290876
65,신월119안전센터,37.5280348,126.8310563
66,면목119안전센터,37.5813361,127.0866458
67,우면119안전센터,37.4696823,127.0212006
68,방이119안전센터,37.5240053,127.1210392
69,가락119안전센터,37.4923649,127.1122009
70,창동119안전센터,37.6416857,127.0434091
71,성내119안전센터,37.5289606,127.1393553
72,하계119안전센터,37.6432704,127.0742534
73,상암119안전센터,37.5715458,126.8778766
74,목동119안전센터,37.5409898,126.8764006
75,수색119안전센터,37.5898743,126.8990108
76,방배119안전센터,37.4741778,126.9959097
77,성수119안전센터,37.5360825,127.0541224
78,중곡119안전센터,37.5603795,127.0886852
79,공릉119안전센터,37.6304747,127.0884816
80,송정119안전센터,37.5521191,127.0549862
81,화곡119안전센터,37.5376924,126.8500445
82,상계119안전센터,37.6674685,127.0784751
83,성산119안전센터,37.5659134,126.9039248
84,신수119안전센터,37.5479432,126.931798
85,우이119안전센터,37.6571816,127.0023878
86,삼각산119안전센터,37.6235169,127.0101978
87,반포119안전센터,37.502498,126.9959341
88,공단119안전센터,37.4781249,126.8874982
89,시흥119안전센터,37.4496793,126.9106948
90,서빙고119안전센터,37.5181414,126.9801461
91,장안119안전센터,37.5711119,127.0674147
92,숭인119안전센터,37.5759887,127.0131913
93,신영119안전센터,37.60868,126.9678901
94,방학119안전센터,37.6603019,127.0434774
95,구의119안전센터,37.5407621,127.0938631
96,발산119안전센터,37.5460841,126.8296984
97,등촌119안전센터,37.5519877,126.8595352
98,녹번119안전센터,37.5968284,126.9305243
99,대림119안전센터,37.4970585,126.9065857
100,신길119안전센터,37.5095773,126.9184531
101,천호119안전센터,37.5431858,127.1265222
102,번동119안전센터,37.6311558,127.0333938
103,월계119안전센터,37.6295908,127.0562532
104,도봉119안전센터,37.6817245,127.0300077
105,역촌119안전센터,37.6118192,126.9115437
106,삼성119안전센터,37.5107654,127.056252
107,영동119안전센터,37.5201614,127.027564
108,수락119안전센터,37.6753755,127.0668456
109,구로119안전센터,37.4969879,126.8873199
110,여의도119안전센터,37.5284362,126.9273741
111,암사119안전센터,37.5577912,127.1295
112,길동119안전센터,37.5397058,127.1470066
113,길동119안전센터,37.5508012,127.1698689
114,노량진119안전센터,37.5028266,126.9589021
115,미근119안전센터,37.5678735,126.9587899
116,능동119안전센터,37.5490452,127.0767548
117,금호119안전센터,37.545841,127.0245305
118,세곡119안전센터,37.47042,127.10723
119,마곡119안전센터,37.55580537,126.8203139
