측정소명,측정소코드,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
중구,111121,0.034,0.029,0.029,0.023,0.018,0.017,0.017,0.018,0.02,0.023,0.031,0.029,0.024
종로구,111123,0.032,0.025,0.026,0.02,0.015,0.013,0.014,0.015,0.016,0.021,0.03,0.029,0.021
중랑구,111151,0.032,0.027,0.026,0.02,0.015,0.013,0.013,0.014,0.013,0.018,0.027,0.028,0.021
동대문구,111152,0.032,0.025,0.027,0.021,0.015,0.014,0.013,0.011,0.016,0.021,0.03,0.028,0.022
은평구,111181,0.028,0.024,0.021,0.017,0.014,0.01,0.01,0.01,0.01,0.014,0.02,0.022,0.017
마포구,111201,0.034,0.029,0.029,0.022,0.017,0.015,0.015,0.016,0.017,0.023,0.032,0.028,0.023
영등포구,111231,0.032,0.027,0.028,0.021,0.016,0.015,0.016,0.015,0.02,0.024,0.034,0.03,0.023
동작구,111241,0.036,0.027,0.026,0.018,0.014,0.012,0.013,0.012,0.016,0.022,0.031,0.03,0.021
관악구,111251,0.036,0.03,0.03,0.021,0.016,0.014,0.015,0.014,0.019,0.024,0.034,0.033,0.024
강남구,111261,0.03,0.025,0.027,0.02,0.016,0.016,0.018,0.017,0.02,0.024,0.031,0.029,0.023
금천구,111281,0.038,0.032,0.029,0.022,0.018,0.015,0.015,0.014,0.014,0.017,0.023,0.03,0.022
강동구,111274,0.033,0.026,0.026,0.019,0.014,0.012,0.012,0.012,0.013,0.019,0.025,0.025,0.02
강북구,111291,0.024,0.018,0.018,0.015,0.011,0.01,0.008,0.009,0.009,0.013,0.021,0.022,0.015
성북구,111161,0.035,0.029,0.029,0.022,0.018,0.015,0.014,0.016,0.017,0.024,0.032,0.032,0.023
용산구,111131,0.029,0.024,0.024,0.02,0.016,0.016,0.018,0.015,0.017,0.021,0.027,0.026,0.021
광진구,111141,0.033,0.024,0.024,0.019,0.014,0.012,0.012,0.012,0.014,0.018,0.023,0.019,0.019
성동구,111142,0.027,0.018,0.017,0.018,0.018,0.015,0.015,0.015,0.017,0.024,0.031,0.032,0.021
도봉구,111171,0.025,0.02,0.02,0.016,0.011,0.01,0.009,0.01,0.01,0.014,0.022,0.024,0.016
서대문구,111191,0.031,0.025,0.022,0.017,0.014,0.01,0.011,0.011,0.01,0.015,0.023,0.027,0.018
구로구,111221,0.031,0.028,0.026,0.018,0.014,0.01,0.011,0.011,0.014,0.019,0.026,0.025,0.019
서초구,111262,0.032,0.026,0.025,0.019,0.016,0.012,0.016,0.014,0.02,0.024,0.032,0.029,0.022
강서구,111212,0.032,0.026,0.028,0.02,0.016,0.013,0.014,0.014,0.017,0.022,0.031,0.028,0.022
송파구,111273,0.037,0.03,0.031,0.023,0.018,0.014,0.016,0.012,0.019,0.025,0.033,0.033,0.024
양천구,111301,0.034,0.028,0.028,0.019,0.014,0.013,0.013,0.011,0.015,0.021,0.029,0.028,0.021
노원구,111311,0.03,0.025,0.025,0.018,0.014,0.013,0.011,0.013,0.015,0.022,0.032,0.031,0.021
한강대로,111122,0.037,0.033,0.033,0.028,0.028,0.023,0.025,0.023,0.025,0.026,0.034,0.032,0.029
청계천로,111124,0.034,0.029,0.031,0.026,0.021,0.019,0.022,0.021,0.023,0.026,0.033,0.029,0.026
종로,111125,0.032,0.026,0.027,0.024,0.02,0.019,0.02,0.018,0.021,0.023,0.03,0.03,0.024
홍릉로,111154,0.037,0.033,0.035,0.029,0.024,0.021,0.021,0.02,0.021,0.025,0.033,0.031,0.027
신촌로,111202,0.046,0.041,0.04,0.034,0.032,0.026,0.028,0.028,0.026,0.03,0.038,0.037,0.034
영등포로,111232,0.039,0.035,0.036,0.031,0.028,0.024,0.026,0.025,0.025,0.029,0.037,0.033,0.031
도산대로,111263,0.035,0.03,0.031,0.025,0.021,0.018,0.02,0.018,0.02,0.025,0.033,0.032,0.026
천호대로,111275,0.042,0.037,0.037,0.03,0.026,0.024,0.024,0.023,0.026,0.029,0.036,0.036,0.031
강남대로,111264,0.04,0.035,0.035,0.034,0.031,0.024,0.025,0.023,0.029,0.03,0.037,0.034,0.031
강변북로,111143,0.04,0.036,0.037,0.035,0.032,0.024,0.028,0.026,0.024,0.028,0.036,0.034,0.032
화랑로,111312,0.043,0.037,0.039,0.034,0.031,0.028,0.028,0.026,0.03,0.031,0.038,0.037,0.034
공항대로,111213,0.037,0.034,0.036,0.029,0.024,0.021,0.024,0.022,0.026,0.029,0.036,0.032,0.029
동작대로,111242,0.043,0.037,0.038,0.032,0.029,0.027,0.031,0.027,0.033,0.034,0.04,0.036,0.034
정릉로,111162,0.043,0.038,0.04,0.035,0.032,0.029,0.03,0.029,0.028,0.029,0.036,0.035,0.034
시흥대로,111282,0.042,0.035,0.039,0.035,0.029,0.029,0.031,0.027,0.035,0.036,0.044,0.039,0.035
