기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부,비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업시간
A1100011,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),샛강역 3번 출구,가톨릭대학교여의도성모병원,1661-7575,02-3779-1188,1700,1700,1700,1700,1700,1200,1600,1200,900,900,900,900,900,900,1000,900,73,45,126.9367313,37.51827234,55:49.0
A1121013,서울특별시 은평구 통일로 1021 (진관동),A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),샛강역 3번 출구,가톨릭대학교은평성모병원,02-1811-7755,02-1811-7755,1700,1700,1700,1700,1700,1200,1600,1200,830,830,830,830,830,830,1000,900,33,12,126.9161505,37.63360841,55:49.0
A1100047,서울특별시 관악구 관악로 242 (봉천동),B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,응급실진료 07:00-24:00,화요일 야간진료 예약시 21시까지,서울대입구역 7번 출구 도보 5분,강남고려병원,1661-8267,02-874-7227,1800,1800,1800,1800,1800,1300,1600,1800,900,900,900,900,900,900,1000,900,87,35,126.9567817,37.48561884,55:49.0
A1100076,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,"24시간 응급실 운영 내과/검진센터 2, 4주 토요일 휴진",관악구 봉천동 187병상 투석 가능한 요양병원입니다.,2호선 신대방역/난곡사거리 인근,강남힐병원,02-853-4600,02-853-9100,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,900,900,87,67,126.9116481,37.48165134,55:49.0
A1100043,서울특별시 강동구 동남로 892 (상일동),A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,관악구 봉천동 187병상 투석 가능한 요양병원입니다.,고덕역 4번 출구,강동경희대학교의대병원,02-440-7114,02-440-7000,1730,1730,1730,1730,1730,1200,1600,1600,830,830,830,830,830,830,900,900,52,78,127.1570848,37.55204593,55:49.0
A1100006,서울특별시 종로구 새문안로 29 (평동),A,종합병원,G006,지역응급의료센터,1,점심시간 12:30~13:30,"http://www.100sang.kr/ 치과용 CT, 파노라마, 치과용 현미경, 턱관절 초음파 치료기 매월 첫째주 토요일 휴무",서대문역 4번 출구,강북삼성병원,02-2001-2001,02-2001-1000,1700,1700,1700,1700,1700,1230,1600,1600,830,830,830,830,830,830,1000,1000,31,81,126.9679381,37.56849763,55:49.0
A1121842,"서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,점심시간 오후1시~2시,"24시간 진료 정형외과 수술가능(골절, 수지접합등)",광산사거리 인근,강북으뜸병원,02-986-0334,02-986-0334,2000,1800,1800,2000,1800,1300,1500,1500,900,900,900,900,900,900,800,800,11,70,127.0261845,37.62542056,55:49.0
A1100002,서울특별시 광진구 능동로 120-1 (화양동),A,종합병원,G006,지역응급의료센터,1,점심시간:13~14시,건강제일의료소비자생활협동조합,"건대입구역 3,4번 출구",건국대학교병원,1588-1533,02-2030-5555,1730,1730,1730,1730,1730,1230,1400,1400,830,830,830,830,830,830,1000,1000,50,30,127.0721229,37.54084479,55:50.0
A1100039,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",A,종합병원,G007,지역응급의료기관,1,응급의료센터 - 24시간 진료,"보건복지부 지정 추나요법 시범사업기관입니다. 침, 한약, 추나, 면역약침등의 한의학적 치료방법을 이용하여 환자의 질병상태들 진단하고 치료합니다.","경찰병원역 1,2번 출구",경찰병원,02-3400-1114,02-3400-1300,1730,1730,1730,1730,1730,1230,1700,1600,900,900,900,900,900,900,900,930,57,15,127.1234879,37.49641321,55:50.0
A1100001,서울특별시 동대문구 경희대로 23 (회기동),A,종합병원,G006,지역응급의료센터,1,"매달 1,3 번째 일요일 정기 휴무",서울대입구역 2번 출구 100 미터 이내입니다 . 지하2층에 주차장 있읍니다 .,영등포역 4번출구 파리바게트 건물,경희대학교병원,02-958-8114,02-958-8114,1730,1730,1730,1730,1730,1230,1800,1500,830,830,830,830,830,900,900,1000,24,47,127.0518322,37.59387655,55:50.0
